,file,color,orientation,type
1372,0659_c001_00078350_0_flip,black,br,sedan
460,0365_c012_00028990_0,white,back,minivan
1146,0768_c012_00056350_0_flip,black,bl,sedan
43,0042_c013_00083445_0,blue,bl,sedan
884,0657_c014_00015235_0,black,back,sedan
617,0477_c009_00060320_0,black,bl,sedan
1363,0646_c019_00007610_0_flip,black,br,sedan
489,0380_c009_00060695_0,white,fr,minivan
875,0654_c010_00019200_0,black,fl,sedan
811,0610_c004_00086610_0,black,fl,suv
26,0027_c013_00012890_0,red,bl,sedan
819,0612_c006_00088005_0,black,bl,suv
1148,0005_c009_00077840_0_flip,orange,br,hatchback
1049,0154_c012_00039665_1_flip,red,bl,truck
1279,0405_c015_00039680_0_flip,yellow,br,truck
661,0515_c015_00056485_0,gray,front,sedan
965,0721_c001_00066705_0,black,bl,sedan
27,0027_c014_00011395_0,red,fl,sedan
747,0585_c015_00031175_0,black,fl,suv
855,0634_c004_00056310_1,black,fl,sedan
1681,0677_c011_00044700_0_flip,black,fr,sedan
1303,0482_c008_00054200_0_flip,gray,br,sedan
1641,0606_c014_00087220_0_flip,black,fr,suv
168,0142_c019_00088335_0,white,front,truck
1236,0296_c019_00059415_0_flip,white,br,hatchback
604,0467_c015_00016970_0,black,front,sedan
1651,0610_c014_00071155_0_flip,black,fr,suv
1645,0609_c003_00042355_0_flip,black,fr,suv
687,0545_c004_00015000_0,gray,br,sedan
1144,0753_c004_00047820_0_flip,black,bl,sedan
471,0369_c017_00000360_0,white,fl,minivan
1675,0672_c001_00049890_0_flip,black,fr,sedan
1187,0142_c015_00086525_0_flip,white,br,truck
537,0405_c001_00042715_0,yellow,front,truck
944,0699_c013_00039540_0,black,front,sedan
144,0134_c004_00049235_0,white,fl,truck
1347,0609_c011_00011825_0_flip,black,br,suv
138,0132_c012_00018355_0,white,fl,truck
818,0612_c003_00087510_0,black,fl,suv
25,0014_c019_00040070_0,red,bl,sedan
775,0598_c002_00045695_0,black,front,suv
1142,0720_c012_00074190_0_flip,black,bl,sedan
807,0609_c016_00015905_0,black,fr,suv
684,0543_c010_00000850_0,gray,fl,sedan
21,0009_c017_00068935_0,green,back,suv
1201,0188_c013_00048625_0_flip,red,br,sedan
1356,0623_c019_00079695_0_flip,black,br,sedan
1367,0654_c006_00019265_0_flip,black,br,sedan
527,0402_c016_00077710_0,yellow,fr,truck
94,0108_c008_00077800_0,green,back,pickup
1385,0696_c015_00087000_0_flip,black,br,sedan
546,0405_c014_00009970_0,yellow,back,truck
1159,0066_c013_00059215_0_flip,green,br,bus
930,0677_c007_00086065_0,black,fr,sedan
1432,0306_c003_00016535_0_flip,white,fl,hatchback
520,0402_c011_00055315_0,yellow,front,truck
1096,0405_c012_00062905_0_flip,yellow,bl,truck
1022,0615_c007_00008915_0_flip,black,left,suv
1620,0518_c017_00046035_0_flip,gray,fr,sedan
1155,0042_c013_00083445_0_flip,blue,br,sedan
265,0205_c008_00056725_0,red,back,hatchback
876,0654_c010_00019205_0,black,fl,sedan
434,0337_c010_00071790_1,white,fl,sedan
502,0391_c015_00035500_0,yellow,front,truck
1207,0205_c009_00056670_0_flip,red,br,hatchback
102,0117_c012_00049190_1,gray,br,pickup
1243,0315_c006_00025985_0_flip,white,br,sedan
887,0659_c001_00078350_0,black,bl,sedan
795,0606_c014_00087220_0,black,fl,suv
864,0646_c019_00007610_0,black,bl,sedan
182,0150_c019_00049850_0,white,front,truck
244,0188_c003_00054985_0,red,br,sedan
958,0717_c008_00062220_0,black,fl,sedan
1012,0310_c007_00017020_0_flip,white,left,sedan
1440,0385_c016_00062470_0_flip,white,fl,suv
1332,0585_c001_00028535_0_flip,black,br,suv
564,0418_c012_00006130_0,gray,br,minivan
377,0300_c015_00076885_0,white,bl,hatchback
1263,0368_c009_00065705_0_flip,white,br,minivan
720,0582_c010_00028940_0,black,back,suv
1524,0180_c008_00044725_0_flip,red,fr,sedan
1506,0134_c011_00047610_0_flip,white,fr,truck
658,0510_c010_00030850_1,gray,fl,sedan
1068,0273_c012_00041195_0_flip,blue,bl,bus
194,0162_c009_00033005_0,white,fr,truck
440,0344_c017_00035190_1,white,br,sedan
1429,0281_c009_00029950_0_flip,blue,fl,bus
279,0218_c005_00067710_0,red,br,hatchback
261,0197_c014_00035605_0,red,back,minivan
796,0606_c017_00088930_0,black,fl,suv
860,0642_c019_00021105_0,black,bl,sedan
1339,0585_c019_00067115_0_flip,black,br,suv
812,0610_c007_00087350_0,black,right,suv
1166,0118_c009_00089270_0_flip,yellow,br,truck
1599,0446_c012_00064190_0_flip,gray,fr,van
1289,0467_c008_00057345_0_flip,black,br,sedan
1527,0182_c008_00039240_0_flip,red,fr,sedan
768,0593_c014_00042690_0,black,fl,suv
646,0489_c007_00085730_0,gray,right,sedan
791,0602_c014_00022130_0,black,fl,suv
1595,0420_c008_00063430_0_flip,gray,fr,minivan
1463,0677_c007_00086065_0_flip,black,fl,sedan
130,0129_c014_00026690_1,white,fl,truck
1026,0676_c007_00013240_0_flip,black,left,sedan
478,0373_c003_00075950_0,white,fl,minivan
716,0581_c009_00087590_0,black,front,suv
1229,0295_c015_00036590_0_flip,white,br,hatchback
974,0742_c010_00027095_0,black,fl,sedan
1570,0361_c010_00073535_0_flip,white,fr,sedan
889,0659_c004_00074340_0,black,br,sedan
608,0473_c008_00031000_0,black,bl,sedan
229,0180_c003_00044990_0,red,fl,sedan
780,0598_c014_00067860_0,black,back,suv
4,0005_c002_00075760_0,orange,back,hatchback
1574,0369_c001_00001110_0_flip,white,fr,minivan
30,0027_c017_00012205_0,red,fl,sedan
216,0174_c012_00040325_0,gray,fl,truck
946,0699_c015_00041120_0,black,front,sedan
597,0461_c016_00018410_0,black,fr,sedan
400,0318_c009_00006195_0,white,bl,sedan
550,0405_c015_00039680_0,yellow,bl,truck
1395,0727_c011_00085570_0_flip,black,br,sedan
189,0151_c010_00005855_0,white,back,truck
1076,0310_c005_00016855_1_flip,white,bl,sedan
892,0659_c012_00078845_0,black,br,sedan
1637,0585_c017_00067420_0_flip,black,fr,suv
572,0421_c013_00062925_0,gray,bl,minivan
1063,0249_c012_00019850_1_flip,black,bl,sedan
1519,0177_c012_00070020_0_flip,red,fr,sedan
236,0182_c002_00041120_2,red,front,sedan
158,0135_c007_00070935_0,white,right,truck
1093,0404_c012_00042180_0_flip,yellow,bl,truck
515,0398_c019_00044910_0,yellow,front,truck
251,0188_c016_00046995_0,red,bl,sedan
674,0522_c011_00081580_0,gray,bl,sedan
313,0249_c014_00021415_0,black,br,sedan
935,0677_c011_00044700_0,black,fl,sedan
1345,0602_c019_00022785_1_flip,black,br,suv
1084,0361_c004_00072835_0_flip,white,bl,sedan
1116,0584_c012_00060630_0_flip,black,bl,suv
268,0205_c011_00055710_0,red,front,hatchback
677,0541_c006_00051875_0,gray,bl,sedan
1188,0144_c013_00027420_0_flip,white,br,truck
49,0063_c017_00008670_2,green,fl,hatchback
1607,0473_c001_00005520_0_flip,black,fr,sedan
1135,0662_c005_00005690_1_flip,black,bl,sedan
560,0416_c016_00023785_0,gray,fr,minivan
753,0585_c017_00029455_0,black,back,suv
762,0590_c012_00046980_0,black,br,suv
29,0027_c015_00011465_0,red,bl,sedan
898,0660_c015_00032995_0,black,front,sedan
1480,0061_c004_00083720_0_flip,white,fr,pickup
1037,0065_c004_00060115_0_flip,green,bl,bus
522,0402_c014_00019555_0,yellow,back,truck
154,0134_c013_00065505_0,white,front,truck
1388,0712_c010_00037775_0_flip,black,br,sedan
210,0174_c006_00072805_0,gray,bl,truck
767,0590_c019_00047915_0,black,front,suv
1545,0247_c017_00083620_0_flip,brown,fr,sedan
967,0721_c002_00064875_0,black,fl,sedan
682,0543_c006_00000920_1,gray,bl,sedan
485,0380_c004_00060745_1,white,br,minivan
1327,0554_c002_00017705_0_flip,gray,br,sedan
1490,0102_c014_00005435_0_flip,green,fr,pickup
481,0380_c001_00064470_0,white,bl,minivan
1090,0391_c012_00033975_0_flip,yellow,bl,truck
1381,0672_c006_00043370_0_flip,black,br,sedan
633,0482_c008_00054205_0,gray,bl,sedan
418,0322_c016_00037515_1,white,bl,sedan
709,0576_c001_00076285_0,black,br,suv
783,0598_c019_00066780_1,black,front,suv
237,0182_c008_00039240_0,red,fl,sedan
163,0135_c019_00059320_0,white,bl,truck
582,0446_c012_00064220_0,gray,fl,van
645,0489_c007_00085695_0,gray,right,sedan
1331,0576_c014_00078330_0_flip,black,br,suv
703,0569_c013_00087985_0,gray,bl,sedan
923,0672_c006_00043370_0,black,bl,sedan
1094,0405_c002_00043220_2_flip,yellow,bl,truck
1048,0151_c005_00087485_0_flip,white,bl,truck
145,0134_c005_00051475_0,white,br,truck
441,0357_c014_00069270_0,white,front,sedan
1329,0569_c015_00085595_0_flip,gray,br,sedan
213,0174_c009_00044140_0,gray,bl,truck
1260,0337_c008_00034685_0_flip,white,br,sedan
1667,0654_c010_00019200_0_flip,black,fr,sedan
995,0773_c007_00006850_0,black,fr,sedan
904,0663_c001_00040350_0,black,bl,sedan
1153,0027_c013_00012890_0_flip,red,br,sedan
779,0598_c014_00067850_0,black,back,suv
422,0326_c011_00086195_0,white,front,sedan
663,0515_c019_00055065_0,gray,bl,sedan
1647,0609_c010_00011795_0_flip,black,fr,suv
531,0404_c001_00017375_0,yellow,fl,truck
758,0586_c012_00066775_0,black,br,suv
1005,0118_c007_00089890_0_flip,yellow,left,truck
1089,0380_c004_00060750_0_flip,white,bl,minivan
1678,0677_c003_00042315_0_flip,black,fr,sedan
363,0296_c019_00059415_0,white,bl,hatchback
1446,0416_c016_00023785_0_flip,gray,fl,minivan
1321,0541_c006_00051875_0_flip,gray,br,sedan
731,0584_c019_00061385_0,black,front,suv
561,0416_c017_00021300_0,gray,back,minivan
484,0380_c003_00060875_0,white,fl,minivan
804,0609_c010_00011795_0,black,fl,suv
1233,0296_c013_00060530_0_flip,white,br,hatchback
668,0522_c002_00083890_0,gray,front,sedan
590,0446_c017_00043075_1,gray,fl,van
1286,0446_c015_00042125_0_flip,gray,br,van
1492,0104_c003_00016950_0_flip,green,fr,pickup
542,0405_c012_00041015_0,yellow,fl,truck
112,0118_c011_00088190_1,yellow,front,truck
698,0554_c002_00017705_0,gray,bl,sedan
939,0696_c015_00087000_0,black,bl,sedan
508,0392_c015_00000845_0,yellow,bl,truck
1160,0066_c016_00055460_0_flip,green,br,bus
1161,0102_c016_00005050_0_flip,green,br,pickup
1450,0545_c009_00014850_0_flip,gray,fl,sedan
1306,0486_c002_00038280_0_flip,gray,br,sedan
971,0729_c009_00030455_0,black,bl,sedan
320,0262_c012_00019955_0,gray,br,minivan
447,0361_c010_00073535_0,white,fl,sedan
1019,0602_c007_00028280_1_flip,black,left,suv
833,0623_c019_00079695_0,black,bl,sedan
263,0197_c017_00023960_2,red,fl,hatchback
20,0009_c016_00071080_0,green,fr,suv
143,0134_c002_00063515_0,white,front,truck
1278,0405_c015_00039665_0_flip,yellow,br,truck
1143,0753_c004_00047805_0_flip,black,bl,sedan
782,0598_c019_00066775_1,black,front,suv
1608,0476_c014_00010430_0_flip,black,fr,sedan
387,0310_c011_00014930_0,white,front,sedan
959,0717_c009_00040845_0,black,fr,sedan
1403,0771_c008_00070650_0_flip,black,br,sedan
1685,0717_c003_00040945_0_flip,black,fr,sedan
157,0135_c007_00070925_0,white,right,truck
391,0315_c006_00000110_0,white,front,sedan
438,0344_c012_00034600_0,white,br,sedan
1115,0584_c001_00060150_0_flip,black,bl,suv
945,0699_c015_00041115_0,black,front,sedan
284,0218_c009_00043370_1,red,front,hatchback
292,0231_c019_00035685_0,gray,bl,sedan
1043,0118_c005_00089855_0_flip,yellow,bl,truck
366,0299_c002_00046750_0,white,bl,van
1662,0634_c004_00056310_1_flip,black,fr,sedan
562,0416_c019_00021555_0,gray,front,minivan
1466,0711_c003_00001030_0_flip,black,fl,sedan
942,0699_c012_00039660_0,black,br,sedan
1338,0585_c016_00066295_0_flip,black,br,suv
59,0066_c012_00059070_0,green,fl,bus
969,0727_c011_00085560_0,black,bl,sedan
299,0241_c017_00034740_0,gray,back,van
170,0143_c012_00073045_0,white,back,truck
423,0332_c012_00013115_0,white,br,sedan
1393,0721_c001_00066710_0_flip,black,br,sedan
1578,0380_c003_00060870_0_flip,white,fr,minivan
844,0630_c002_00039260_0,black,fl,sedan
1386,0712_c006_00036835_0_flip,black,br,sedan
587,0446_c016_00041835_0,gray,bl,van
72,0090_c004_00078410_0,green,back,pickup
1101,0446_c002_00067035_0_flip,gray,bl,van
137,0130_c009_00058815_0,white,bl,truck
972,0742_c001_00030985_0,black,bl,sedan
1552,0288_c003_00028785_0_flip,white,fr,hatchback
307,0247_c017_00083620_0,brown,fl,sedan
739,0585_c012_00004420_0,black,fl,suv
1193,0174_c006_00072805_0_flip,gray,br,truck
480,0373_c004_00075925_0,white,br,minivan
1275,0398_c001_00043260_0_flip,yellow,br,truck
593,0456_c015_00006955_0,gray,front,sedan
1497,0118_c012_00066915_0_flip,yellow,fr,truck
867,0652_c009_00063335_0,black,bl,sedan
1056,0192_c004_00031675_0_flip,red,bl,minivan
991,0770_c013_00033195_0,black,bl,sedan
578,0446_c003_00070110_0,gray,back,van
207,0174_c001_00076030_0,gray,bl,truck
493,0385_c015_00037605_0,white,bl,suv
473,0369_c017_00035025_0,white,back,minivan
91,0108_c003_00077590_0,green,back,pickup
1353,0622_c016_00065335_0_flip,black,br,sedan
1513,0166_c017_00036350_0_flip,gray,fr,truck
1223,0281_c001_00033860_0_flip,white,br,bus
1301,0477_c019_00018560_0_flip,black,br,sedan
1540,0218_c004_00066980_0_flip,red,fr,hatchback
1387,0712_c006_00044400_0_flip,black,br,sedan
987,0768_c019_00057355_0,black,front,sedan
253,0192_c003_00078515_0,red,br,minivan
727,0584_c016_00062395_0,black,fr,suv
1047,0151_c002_00005045_0_flip,white,bl,truck
1425,0196_c009_00077825_0_flip,red,fl,sedan
817,0610_c014_00071170_0,black,fl,suv
1210,0218_c008_00067280_0_flip,red,br,hatchback
1018,0597_c007_00066300_0_flip,black,left,suv
952,0712_c010_00037775_0,black,bl,sedan
977,0753_c004_00047820_0,black,br,sedan
483,0380_c003_00060870_0,white,fl,minivan
111,0118_c009_00089270_0,yellow,bl,truck
297,0241_c012_00034175_0,gray,back,van
1602,0446_c017_00043050_1_flip,gray,fr,van
1326,0554_c002_00017695_0_flip,gray,br,sedan
1212,0231_c016_00034845_1_flip,gray,br,sedan
1408,0006_c016_00026255_0_flip,orange,fl,minivan
638,0486_c015_00075110_0,gray,bl,sedan
828,0615_c007_00008915_0,black,right,suv
365,0298_c016_00044965_0,white,bl,van
317,0249_c017_00020550_0,black,br,sedan
532,0404_c001_00041715_0,yellow,br,truck
848,0630_c008_00036630_0,black,fl,sedan
117,0118_c019_00066025_0,yellow,bl,truck
16,0009_c001_00067380_0,green,br,suv
219,0177_c013_00070090_0,red,bl,sedan
643,0489_c004_00084640_0,gray,fl,sedan
1002,0038_c003_00008570_0_flip,red,left,sedan
873,0654_c006_00019265_0,black,bl,sedan
790,0602_c012_00023565_0,black,fl,suv
1583,0392_c017_00002240_0_flip,yellow,fr,truck
1558,0298_c014_00045180_0_flip,white,fr,van
586,0446_c016_00033575_0,gray,fr,van
1636,0585_c015_00031185_0_flip,black,fr,suv
325,0273_c002_00039190_1,blue,fl,bus
670,0522_c004_00080960_0,gray,fr,sedan
751,0585_c016_00066285_0,black,bl,suv
1290,0467_c015_00014570_0_flip,black,br,sedan
1352,0612_c006_00088025_2_flip,black,br,suv
1138,0672_c002_00050440_0_flip,black,bl,sedan
871,0654_c003_00052050_0,black,back,sedan
1092,0404_c001_00041715_0_flip,yellow,bl,truck
575,0446_c001_00066420_0,gray,fl,van
76,0101_c016_00047285_0,green,fr,pickup
285,0218_c010_00066525_0,red,back,hatchback
323,0262_c016_00022120_0,gray,fr,minivan
840,0625_c007_00011030_0,black,right,sedan
1351,0612_c006_00088005_0_flip,black,br,suv
1448,0461_c016_00018410_0_flip,black,fl,sedan
713,0576_c017_00074685_0,black,fl,suv
846,0630_c005_00051900_0,black,br,sedan
613,0476_c017_00011395_1,black,fl,sedan
1659,0630_c004_00051075_0_flip,black,fr,sedan
311,0249_c012_00019850_1,black,br,sedan
838,0625_c005_00011020_0,black,br,sedan
468,0369_c001_00001110_0,white,fl,minivan
266,0205_c009_00056670_0,red,bl,hatchback
1581,0385_c017_00038365_0_flip,white,fr,suv
424,0332_c014_00014975_0,white,back,sedan
77,0101_c016_00047290_0,green,fr,pickup
927,0677_c003_00042315_0,black,fl,sedan
413,0319_c009_00086590_0,white,bl,sedan
409,0319_c004_00086405_0,white,fl,sedan
585,0446_c015_00042125_0,gray,bl,van
1486,0066_c012_00059070_0_flip,green,fr,bus
1124,0609_c004_00042270_0_flip,black,bl,suv
331,0273_c014_00044480_0,blue,back,bus
543,0405_c012_00062905_0,yellow,br,truck
1257,0337_c001_00073725_1_flip,white,br,sedan
212,0174_c008_00044195_0,gray,back,truck
230,0180_c004_00044875_0,red,br,sedan
184,0151_c002_00005045_0,white,br,truck
1528,0182_c010_00039865_0_flip,red,fr,sedan
1397,0742_c001_00030985_0_flip,black,br,sedan
565,0420_c003_00063610_0,gray,fl,minivan
1537,0207_c012_00029125_0_flip,red,fr,hatchback
1182,0134_c009_00049795_0_flip,white,br,truck
1576,0373_c003_00075950_0_flip,white,fr,minivan
1342,0602_c008_00027560_0_flip,black,br,suv
1488,0074_c014_00085685_0_flip,gray,fr,pickup
421,0326_c011_00086150_0,white,front,sedan
1325,0554_c002_00017685_0_flip,gray,br,sedan
1288,0446_c019_00042820_1_flip,gray,br,van
463,0368_c006_00064800_0,white,front,minivan
907,0663_c013_00040720_0,black,front,sedan
744,0585_c013_00068120_0,black,bl,suv
1615,0489_c006_00076985_0_flip,gray,fr,sedan
247,0188_c013_00048625_0,red,bl,sedan
810,0610_c003_00086635_0,black,back,suv
1421,0162_c009_00033005_0_flip,white,fl,truck
1320,0541_c001_00055075_0_flip,gray,br,sedan
1533,0196_c010_00078420_0_flip,red,fr,sedan
278,0218_c004_00066980_0,red,fl,hatchback
179,0150_c014_00050985_0,white,back,truck
375,0300_c014_00076845_0,white,fl,hatchback
1211,0218_c011_00044120_0_flip,red,br,hatchback
443,0361_c003_00072920_0,white,fl,sedan
89,0106_c015_00015960_0,green,bl,pickup
220,0177_c014_00068575_0,red,fl,sedan
1053,0180_c004_00044890_0_flip,red,bl,sedan
308,0247_c019_00083350_0,brown,bl,sedan
343,0281_c015_00087600_0,white,bl,bus
141,0134_c001_00064820_1,white,bl,truck
732,0585_c001_00028535_0,black,bl,suv
1189,0144_c015_00024580_0_flip,white,br,truck
1074,0300_c002_00081405_0_flip,white,bl,hatchback
500,0385_c019_00061445_0,white,front,suv
1547,0262_c001_00014350_0_flip,gray,fr,minivan
1630,0546_c004_00020335_0_flip,gray,fr,sedan
1227,0288_c006_00029375_0_flip,white,br,hatchback
326,0273_c003_00036590_0,blue,fl,bus
44,0061_c004_00083710_0,white,fl,pickup
912,0668_c006_00007925_0,black,front,sedan
84,0102_c016_00010750_0,green,front,pickup
291,0231_c017_00035840_0,gray,fl,sedan
335,0281_c006_00031000_0,white,bl,bus
558,0416_c012_00020465_0,gray,br,minivan
1672,0659_c010_00074865_0_flip,black,fr,sedan
60,0066_c013_00059205_0,green,bl,bus
1287,0446_c016_00041835_0_flip,gray,br,van
425,0332_c017_00013705_0,white,back,sedan
919,0672_c003_00042645_1,black,fl,sedan
757,0585_c019_00067115_0,black,bl,suv
